Main Title,Secondary Title,Author,Average Rating,Publisher,Number of Pages,Year Published,Original Publication Year,Exclusive Shelf
The 10X Rule, The Only Difference Between Success and Failure,Grant Cardone,3.94,Wiley,240,2011,2011,to-read
Building a Second Brain, A Proven Method to Organize Your Digital Life and Unlock Your Creative Potential,Tiago Forte,4.09,Atria Books,272,2022,2022,to-read
Your Next Five Moves, Master the Art of Business Strategy,Patrick Bet-David,4.13,Gallery Books,275,2020,0,to-read
The Psychology of Selling, Increase Your Sales Faster and Easier Than You Ever Thought Possible,Brian Tracy,4.14,HarperCollins Leadership,240,2006,1988,to-read
"Psycho-Cybernetics, A New Way to Get More Living Out of Life",,Maxwell Maltz,4.24,Pocket,288,1989,1960,to-read
DotCom Secrets, The Underground Playbook for Growing Your Company Online,Russell Brunson,4.23,Morgan James Publishing,275,2015,2011,to-read
The Diary of a CEO, The 33 Laws of Business and Life,Steven Bartlett,4.27,Portfolio,368,2023,0,to-read
Copywriting Secrets,,Jim Edwards,4.36,Author Academy Elite,265,2019,2019,to-read
The Beginner's Guide to Stoicism, Tools for Emotional Resilience and Positivity,Matthew Van Natta,4.01,Althea Press,178,2019,2019,read
How to Win Friends and Influence People,,Dale Carnegie,4.22,Gallery Books,288,1998,1936,read
12 Rules for Life, An Antidote to Chaos,Jordan B. Peterson,3.93,Random House Canada,409,2018,2018,read
Beyond Order, 12 More Rules For Life,Jordan B. Peterson,4.19,Portfolio,382,2021,2021,read
The 48 Laws of Power,,Robert Greene,4.14,Penguin Books,452,2000,1998,read
The 7 Habits of Highly Effective People,,Stephen R. Covey,4.15,SIMON & SCHUSTER,440,2020,1988,read
$100M Offers, How To Make Offers So Good People Feel Stupid Saying No ,Alex Hormozi,4.62,,210,2021,0,read
The Psychology of Money,,Morgan Housel,4.35,Harriman House,252,2020,2020,read
Storytelling with Data, A Data Visualization Guide for Business Professionals,Cole Nussbaumer Knaflic,4.4,Wiley,288,2015,2015,currently-reading
Zig Ziglar's Secrets of Closing the Sale, For Anyone Who Must Get Others to Say Yes!,Zig Ziglar,4.16,Berkley,416,1985,1984,to-read
The Courage to Be Disliked," How to Free Yourself, Change your Life and Achieve Real Happiness",Ichiro Kishimi,4.03,Allen & Unwin,288,2019,2013,to-read
Pragmatic Thinking and Learning, Refactor Your Wetware,Andy Hunt,4.13,"Pragmatic Programmers, LLC, The",251,2008,2008,to-read
The 32 Principles,,Rener Gracie,3.82,BenBella Books ,240,2023,0,to-read
The Win Without Pitching Manifesto,,Blair Enns,4.46,RockBench Publishing Corp.,144,2010,2010,to-read
The Crystal Shard,,R.A. Salvatore,4.12,Wizards of the Coast,344,2007,1988,read
The Weekend Millionaire's Secrets to Investing in Real Estate, How to Become Wealthy in Your Spare Time,Mike Summey,3.93,McGraw Hill,288,2003,2003,to-read
Sword of Destiny,,Andrzej Sapkowski,4.27,Orbit,405,2015,1992,read
Baptism of Fire,,Andrzej Sapkowski,4.26,Orbit,349,2014,1996,read
The Time of Contempt,,Andrzej Sapkowski,4.16,Orbit,331,2013,1995,read
Blood of Elves,,Andrzej Sapkowski,4.1,Hachette Book Group,398,2009,1994,read
The Last Wish,,Andrzej Sapkowski,4.14,Orbit,400,2008,1993,read
The Good Place and Philosophy, Everything is Forking Fine! ,William Irwin,4.0,Wiley-Blackwell,320,2020,2020,to-read
Harry Potter and the Deathly Hallows,,J.K. Rowling,4.62,Arthur A. Levine Books,759,2007,2007,read
Harry Potter and the Half-Blood Prince,,J.K. Rowling,4.58,Scholastic Inc,652,2006,2005,read
The Defining Decade, Why Your Twenties Matter—And How to Make the Most of Them Now,Meg Jay,4.11,Twelve,273,2012,2012,to-read
Harry Potter and the Order of the Phoenix,,J.K. Rowling,4.5,Scholastic Inc.,912,2004,2003,read
Harry Potter and the Goblet of Fire,,J.K. Rowling,4.56,Scholastic,734,2002,2000,read
Harry Potter and the Prisoner of Azkaban,,J.K. Rowling,4.58,Scholastic Inc.,435,2004,1999,read
