Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
10339170,The 10X Rule: The Only Difference Between Success and Failure,Grant Cardone,"Cardone, Grant",,"=""0470627603""","=""9780470627600""",0,3.94,Wiley,Hardcover,240,2011,2011,,2023/12/10,to-read,to-read (#126),to-read,,,,0,0
59616977,Building a Second Brain: A Proven Method to Organize Your Digital Life and Unlock Your Creative Potential,Tiago Forte,"Forte, Tiago",,"=""1982167386""","=""9781982167387""",0,4.09,Atria Books,Hardcover,272,2022,2022,,2023/12/10,to-read,to-read (#125),to-read,,,,0,0
50542735,Your Next Five Moves: Master the Art of Business Strategy,Patrick Bet-David,"Bet-David, Patrick",,"=""1982154829""","=""9781982154820""",0,4.13,Gallery Books,ebook,275,2020,,,2023/12/10,to-read,to-read (#124),to-read,,,,0,0
115625,The Psychology of Selling: Increase Your Sales Faster and Easier Than You Ever Thought Possible,Brian Tracy,"Tracy, Brian",,"=""0785288066""","=""9780785288060""",0,4.14,HarperCollins Leadership,Paperback,240,2006,1988,,2023/12/10,to-read,to-read (#123),to-read,,,,0,0
155981,"Psycho-Cybernetics, A New Way to Get More Living Out of Life",Maxwell Maltz,"Maltz, Maxwell",,"=""0671700758""","=""9780671700751""",0,4.24,Pocket,Mass Market Paperback,288,1989,1960,,2023/12/10,to-read,to-read (#122),to-read,,,,0,0
25054961,DotCom Secrets: The Underground Playbook for Growing Your Company Online,Russell Brunson,"Brunson, Russell",Russell Brunson,"=""""","=""""",0,4.23,Morgan James Publishing,Kindle Edition,275,2015,2011,,2023/12/10,to-read,to-read (#121),to-read,,,,0,0
199017130,The Diary of a CEO: The 33 Laws of Business and Life,Steven Bartlett,"Bartlett, Steven",,"=""0593715837""","=""9780593715833""",0,4.27,Portfolio,Hardcover,368,2023,,,2023/12/10,to-read,to-read (#120),to-read,,,,0,0
52967057,Copywriting Secrets,Jim Edwards,"Edwards, Jim",,"=""""","=""""",0,4.36,Author Academy Elite,Paperback,265,2019,2019,,2023/12/10,to-read,to-read (#119),to-read,,,,0,0
50980191,The Beginner's Guide to Stoicism: Tools for Emotional Resilience and Positivity,Matthew Van Natta,"Natta, Matthew Van",,"=""1641527218""","=""9781641527217""",3,4.01,Althea Press,Paperback,178,2019,2019,,2023/07/12,,,read,,,,1,0
4865,How to Win Friends and Influence People,Dale Carnegie,"Carnegie, Dale",,"=""""","=""""",5,4.22,Gallery Books,Paperback,288,1998,1936,,2023/07/12,,,read,,,,1,0
30257963,12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,"Peterson, Jordan B.",,"=""0345816021""","=""9780345816023""",5,3.93,Random House Canada,Audiobook,409,2018,2018,,2023/07/12,,,read,,,,1,0
56019043,Beyond Order: 12 More Rules For Life,Jordan B. Peterson,"Peterson, Jordan B.",,"=""0593084640""","=""9780593084649""",5,4.19,Portfolio,Hardcover,382,2021,2021,,2023/07/12,,,read,,,,1,0
1303,The 48 Laws of Power,Robert Greene,"Greene, Robert",,"=""0140280197""","=""9780140280197""",5,4.14,Penguin Books,Paperback,452,2000,1998,2023/11/26,2023/07/12,,,read,,,,1,0
56951247,The 7 Habits of Highly Effective People,Stephen R. Covey,"Covey, Stephen R.",,"=""1471195708""","=""9781471195709""",5,4.15,SIMON & SCHUSTER,Paperback,440,2020,1988,,2023/07/24,,,read,,,,1,0
